Artist,Song
3 Doors Down,Kryptonite
AFI,Miss Murder
Alter Bridge,Addicted to Pain
Alter Bridge,All Ends Well
Alter Bridge,All Hope Is Gone
Alter Bridge,Before Tomorrow Comes
Alter Bridge,Blackbird
Alter Bridge,Bleed It Dry
Alter Bridge,Brand New Start
Alter Bridge,Break Me Down
Alter Bridge,Breathe Again
Alter Bridge,Broken Wings
Alter Bridge,Buried Alive
Alter Bridge,Burn It Down
Alter Bridge,Calm the Fire
Alter Bridge,Coeur d'Alene
Alter Bridge,Come To Life
Alter Bridge,Coming Home
Alter Bridge,Cradle to the Grave
Alter Bridge,Crows on a Wire
Alter Bridge,Cry a River
Alter Bridge,Cry of Achilles
Alter Bridge,Down To My Last
Alter Bridge,Fallout
Alter Bridge,Farther Than the Sun
Alter Bridge,Find The Real
Alter Bridge,Fortress
Alter Bridge,Ghost of Days Gone By
Alter Bridge,Home
Alter Bridge,I Know It Hurts
Alter Bridge,In Loving Memory
Alter Bridge,Island of Fools
Alter Bridge,Isolation
Alter Bridge,Last Of Our Kind (Bonus Track)
Alter Bridge,Life Must Go On
Alter Bridge,Losing Patience
Alter Bridge,Lover
Alter Bridge,Make It Right
Alter Bridge,Metalingus
Alter Bridge,My Champion
Alter Bridge,Never Born to Follow
Alter Bridge,One By One
Alter Bridge,One Day Remains
Alter Bridge,Open Your Eyes
Alter Bridge,Peace Is Broken
Alter Bridge,Poison In Your Veins
Alter Bridge,Rise Today
Alter Bridge,Shed My Skin
Alter Bridge,Show Me a Leader
Alter Bridge,Show Me a Sign
Alter Bridge,Slip to the Void
Alter Bridge,Still Remains
Alter Bridge,The End Is Here
Alter Bridge,The Last Hero
Alter Bridge,The Other Side
Alter Bridge,The Uninvited
Alter Bridge,The Writing on the Wall
Alter Bridge,This Side of Fate
Alter Bridge,Ties That Bind
Alter Bridge,Twilight
Alter Bridge,Watch Over You
Alter Bridge,Watch Your Words
Alter Bridge,Waters Rising
Alter Bridge,Wayward One
Alter Bridge,We Don't Care At All
Alter Bridge,White Knuckles
Alter Bridge,Wonderful Life
Alter Bridge,Words Darker Than Their Wings
Alter Bridge,You Will Be Remembered
Alter Bridge,Zero
Art Of Dying,Get Through This
Audioslave,#1 Zero
Audioslave,Be Yourself
Audioslave,Bring Em Back Alive
Audioslave,Broken City
Audioslave,Cochise
Audioslave,Dandelion
Audioslave,Doesn't Remind Me
Audioslave,Drown Me Slowly
Audioslave,Exploder
Audioslave,Gasoline
Audioslave,Getaway Car
Audioslave,Heaven's Dead
Audioslave,Hypnotize
Audioslave,I Am the Highway
Audioslave,Jewel Of The Summertime
Audioslave,Light My Way
Audioslave,Like a Stone
Audioslave,Man Or Animal
Audioslave,Moth
Audioslave,Nothing Left To Say But Goodbye
Audioslave,One And The Same
Audioslave,Original Fire
Audioslave,Out Of Exile
Audioslave,Out of Exile - Live at the Quart Festival
Audioslave,Revelations
Audioslave,Set It Off
Audioslave,Shadow on the Sun
Audioslave,Shape of Things to Come
Audioslave,Show Me How to Live
Audioslave,Somedays
Audioslave,Sound Of A Gun
Audioslave,The Curse
Audioslave,The Last Remaining Light
Audioslave,The Worm
Audioslave,Until We Fall
Audioslave,What You Are
Audioslave,Wide Awake
Audioslave,Yesterday To Tomorrow
Audioslave,Your Time Has Come
Breaking Benjamin,Blow Me Away
Breaking Benjamin,The Diary of Jane - Single Version
CAKE,Short Skirt / Long Jacket
Crazy Town,Butterfly
Creed,My Own Prison
Drowning Pool,Bodies
Drowning Pool,Life of Misery
Drowning Pool,Sinner
Drowning Pool,Tear Away
Everlast,What It's Like
Flyleaf,All Around Me
Flyleaf,I'm So Sick
Foo Fighters,All My Life
Foo Fighters,Everlong
Foo Fighters,Learn to Fly
Foo Fighters,My Hero
Foo Fighters,The Pretender
Godsmack,Straight Out Of Line
Good Charlotte,Lifestyles of the Rich & Famous
Hoobastank,Crawling In The Dark
Hoobastank,Same Direction
Incubus,Drive
Jimmy Eat World,Bleed American
Jimmy Eat World,Sweetness
Korn,Coming Undone
Korn,Here to Stay
Korn,Twisted Transistor
Limp Bizkit,Behind Blue Eyes
Limp Bizkit,My Way
Limp Bizkit,Rollin' (Air Raid Vehicle)
Limp Bizkit,Take A Look Around
"Limp Bizkit,Method Man",N 2 Gether Now
Linkin Park,A Place for My Head
Linkin Park,A-Six - Original Long Version
Linkin Park,A6 - Meteora|20 Demo
Linkin Park,Attached - 2003 Demo
Linkin Park,Breaking the Habit
Linkin Park,By Myself
Linkin Park,Crawling
Linkin Park,Cuidado - Lying From You Demo
Linkin Park,Cumulus - 2002 Demo
Linkin Park,Cure for the Itch
Linkin Park,Don't Stay
Linkin Park,Easier to Run
Linkin Park,Easier to Run - Live LP Underground Tour 2003
Linkin Park,Faint
Linkin Park,Faint - Demo 2002
Linkin Park,Faint - Meteora|20 Demo
Linkin Park,Fighting Myself
Linkin Park,Figure.09
Linkin Park,Figure.09 - Demo 2002
Linkin Park,Forgotten
Linkin Park,From the Inside
Linkin Park,From the Inside - Live LP Underground Tour 2003
Linkin Park,Given Up
Linkin Park,Halo - Unreleased Demo 2002
Linkin Park,Healing Foot
Linkin Park,High Voltage
Linkin Park,Hit the Floor
Linkin Park,Husky - Hit The Floor Demo
Linkin Park,In the End
Linkin Park,Interrogation - Easier To Run Demo
Linkin Park,Lost
Linkin Park,Lying from You
Linkin Park,Lying from You - Live LP Underground Tour 2003
Linkin Park,Massive
Linkin Park,More the Victim
Linkin Park,My December
Linkin Park,Nobody Can Save Me
Linkin Park,Nobody's Listening
Linkin Park,Numb
Linkin Park,One Step Closer
Linkin Park,Papercut
Linkin Park,Papercut - Live at BBC1
Linkin Park,Plaster 2 - Figure.09 Demo
Linkin Park,Points of Authority
Linkin Park,Pretty Birdy - Somewhere I Belong 2002 Demo
Linkin Park,Pushing Me Away
Linkin Park,Resolution
Linkin Park,Rhinocerous - 2002 Demo
Linkin Park,Runaway
Linkin Park,Session
Linkin Park,Shifter - From The Inside Demo
Linkin Park,Sold My Soul to Yo Mama
Linkin Park,Somewhere I Belong
Linkin Park,Soundtrack - Meteora Demo
Linkin Park,Standing in the Middle
Linkin Park,Wesside
Linkin Park,With You
"Linkin Park,Kiiara,Nicky Romero",Heavy (feat. Kiiara) - Nicky Romero Remix
Live,I Alone
Marilyn Manson,Personal Jesus
Marilyn Manson,Sweet Dreams (Are Made Of This)
Marilyn Manson,Tainted Love
Nickelback,Animals
Nickelback,Another Hole in the Head
Nickelback,Because of You
Nickelback,Believe It or Not
Nickelback,Bottoms Up
Nickelback,Burn It to the Ground
Nickelback,Do This Anymore
Nickelback,Don't Ever Let It End
Nickelback,Everything I Wanna Do
Nickelback,Far Away
Nickelback,Feelin' Way Too Damn Good
Nickelback,Fight for All the Wrong Reasons
Nickelback,Figured You Out
Nickelback,Flat On the Floor
Nickelback,Follow You Home
Nickelback,Good Times Gone
Nickelback,Gotta Be Somebody
Nickelback,Gotta Get Me Some
Nickelback,Hangnail
Nickelback,Holding on to Heaven
Nickelback,Hollywood
Nickelback,How You Remind Me
Nickelback,I'd Come for You
Nickelback,If Everyone Cared
Nickelback,If Today Was Your Last Day
Nickelback,Just For
Nickelback,Just to Get High
Nickelback,Kiss It Goodbye
Nickelback,Lullaby
Nickelback,Midnight Queen
Nickelback,Money Bought
Nickelback,Never Again
Nickelback,Next Contestant
Nickelback,Next Go Round
Nickelback,Photograph
Nickelback,Rockstar
Nickelback,S.E.X.
Nickelback,Savin' Me
Nickelback,See You at the Show
Nickelback,Shakin' Hands
Nickelback,Should've Listened
Nickelback,Side of a Bullet
Nickelback,Someday
Nickelback,Someone That You're With
Nickelback,Something in Your Mouth
Nickelback,This Means War
Nickelback,Throw Yourself Away
Nickelback,Too Bad
Nickelback,Trying Not to Love You
Nickelback,When We Stand Together
Nickelback,Where Do I Hide
Nickelback,Woke Up This Morning
Nine Inch Nails,Discipline
Nine Inch Nails,Hurt
Of Mice & Men,Bones Exposed
Of Mice & Men,Never Giving Up
Of Mice & Men,Obsolete
Of Mice & Men,Would You Still Be There
Rage Against The Machine,Ashes In the Fall
Rage Against The Machine,Beautiful World
Rage Against The Machine,Bombtrack
Rage Against The Machine,Born As Ghosts
Rage Against The Machine,Born Of A Broken Man
Rage Against The Machine,Bullet In the Head
Rage Against The Machine,Bulls On Parade
Rage Against The Machine,Bulls on Parade
Rage Against The Machine,Calm Like a Bomb
Rage Against The Machine,Down On The Street
Rage Against The Machine,Down Rodeo
Rage Against The Machine,Fistful of Steel
Rage Against The Machine,Freedom
Rage Against The Machine,Guerilla Radio
Rage Against The Machine,Guerrilla Radio
Rage Against The Machine,How I Could Just Kill A Man
Rage Against The Machine,How I Could Just Kill a Man
Rage Against The Machine,I'm Housin'
Rage Against The Machine,In My Eyes
Rage Against The Machine,Kick out the Jams
Rage Against The Machine,Killing In The Name
Rage Against The Machine,Killing In the Name
Rage Against The Machine,Know Your Enemy
Rage Against The Machine,Maggie's Farm
Rage Against The Machine,Maria
Rage Against The Machine,Mic Check
Rage Against The Machine,Microphone Fiend
Rage Against The Machine,New Millennium Homes
Rage Against The Machine,People of the Sun
Rage Against The Machine,Pistol Grip Pump
Rage Against The Machine,Renegades Of Funk
Rage Against The Machine,Revolver
Rage Against The Machine,Roll Right
Rage Against The Machine,Settle for Nothing
Rage Against The Machine,Sleep Now In the Fire
Rage Against The Machine,Snakecharmer
Rage Against The Machine,Street Fighting Man
Rage Against The Machine,Take the Power Back
Rage Against The Machine,Testify
Rage Against The Machine,The Ghost of Tom Joad
Rage Against The Machine,Tire Me
Rage Against The Machine,Township Rebellion
Rage Against The Machine,Vietnow
Rage Against The Machine,Voice of the Voiceless
Rage Against The Machine,Wake Up
Rage Against The Machine,War Within a Breath
Rage Against The Machine,Wind Below
Rage Against The Machine,Without a Face
Rage Against The Machine,Year of tha Boomerang
Red,Breathe Into Me
Rev Theory,Hell Yeah
Rise Against,Give It All
Rise Against,Help Is On The Way
Rise Against,Prayer Of The Refugee
Rise Against,Re-Education (Through Labor)
Rise Against,Savior
Rise Against,Under The Knife
Seether,Fake It
Seether,Immortality - Live
Seether,Remedy
Shinedown,Son of Sam
Sick Puppies,You're Going Down
Smash Mouth,All Star
Spin Doctors,Two Princes
Staind,It's Been Awhile
Static-X,The Only
Sum 41,Fat Lip
Sum 41,In Too Deep
Sum 41,No Reason
Sum 41,Still Waiting
Sum 41,The Hell Song
TOOL,"10,000 Days (Wings Pt 2)"
TOOL,4°
TOOL,7empest
TOOL,Bottom
TOOL,Crawl Away
TOOL,Culling Voices
TOOL,Descending
TOOL,Die Eier von Satan
TOOL,Disposition
TOOL,Eon Blue Apocalypse
TOOL,Eulogy
TOOL,Fear Inoculum
TOOL,Flood
TOOL,Forty Six & 2
TOOL,H.
TOOL,Hooker With A Penis
TOOL,Intension
TOOL,Intermission
TOOL,Intolerance
TOOL,Invincible
TOOL,Jambi
TOOL,Jimmy
TOOL,Lateralus
TOOL,Lipan Conjuring
TOOL,Lost Keys (Blame Hofman)
TOOL,Mantra
TOOL,Message To Harry Manback
TOOL,Opiate²
TOOL,Parabol
TOOL,Parabola
TOOL,Pneuma
TOOL,Prison Sex
TOOL,Pushit
TOOL,Reflection
TOOL,Right In Two
TOOL,Rosetta Stoned
TOOL,Schism
TOOL,Sober
TOOL,Stinkfist
TOOL,Swamp Song
TOOL,The Grudge
TOOL,The Patient
TOOL,The Pot
TOOL,Third Eye
TOOL,Ticks & Leeches
TOOL,Triad
TOOL,Undertow
TOOL,Vicarious
TOOL,Viginti Tres
TOOL,Wings For Marie (Pt 1)
TOOL,Ænema
The Goo Goo Dolls,Iris
The Red Jumpsuit Apparatus,Cat And Mouse
The Red Jumpsuit Apparatus,Face Down
The Red Jumpsuit Apparatus,False Pretense
Third Eye Blind,Semi-Charmed Life
Thirty Seconds To Mars,Walk On Water - R3hab Remix
Three Days Grace,Animal I Have Become
Three Days Grace,I Hate Everything About You
Three Days Grace,Painkiller
Three Days Grace,Riot
Three Days Grace,Time of Dying
Trapt,Headstrong
